CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
AAVE;Agosto de 2020;1;59.638,94;59.638,94
AAVE;Janeiro de 2021;32;296.891,77;9.277,87
AAVE;Fevereiro de 2021;129;974.326,69;7.552,92
AAVE;Março de 2021;103;64.072,39;622,06
AAVE;Abril de 2021;2.858;2.948.448,27;1.031,65
AAVE;Maio de 2021;59.255;61.859.222,22;1.043,95
AAVE;Junho de 2021;25.401;18.010.101,16;709,03
AAVE;Julho de 2021;26.930;20.536.073,53;762,57
AAVE;Agosto de 2021;28.661;22.763.849,69;794,24
AAVE;Setembro de 2021;20.999;16.247.672,88;773,74
AAVE;Outubro de 2021;23.243;20.454.895,56;880,05
AAVE;Novembro de 2021;20.521;13.956.242,73;680,10
AAVE;Dezembro de 2021;14.111;9.001.406,05;637,90
AAVE;Janeiro de 2022;10.787;7.027.490,83;651,48
AAVE;Fevereiro de 2022;5.828;3.025.437,63;519,12
AAVE;Março de 2022;10.743;7.271.146,68;676,83
AAVE;Abril de 2022;9.442;7.126.368,92;754,75
AAVE;Maio de 2022;9.636;35.073.104,59;3.639,80
AAVE;Junho de 2022;9.318;5.628.916,79;604,09
AAVE;Julho de 2022;10.091;5.621.278,94;557,06
AAVE;Agosto de 2022;7.852;3.920.630,80;499,32
AAVE;Setembro de 2022;5.129;2.930.971,56;571,45
AAVE;Outubro de 2022;4.653;1.962.271,27;421,72
AAVE;Novembro de 2022;12.685;2.640.025,39;208,12
AAVE;Dezembro de 2022;28.229;1.514.105,72;53,64
AAVE;Janeiro de 2023;50.327;4.704.773,35;93,48
AAVE;Fevereiro de 2023;33.992;4.716.125,78;138,74
AAVE;Março de 2023;22.589;3.121.684,78;138,19
AAVE;Abril de 2023;20.279;2.247.310,00;110,82
AAVE;Maio de 2023;14.249;1.324.898,94;92,98
AAVE;Junho de 2023;20.196;3.434.616,75;170,06
AAVE;Julho de 2023;27.737;5.117.425,16;184,50
AAVE;Agosto de 2023;20.272;3.890.261,32;191,90
AAVE;Setembro de 2023;32.936;3.615.978,51;109,79
AAVE;Outubro de 2023;104.103;13.077.108,66;125,62
